LOADING_MAP_SPRITES;Entering the Realms...;Chargement des sprites de carte…;Karten-Sprites werden geladen ...;Wczytywanie Map-Sprites...;Cargando gráficos animados del mapa...;Caricamento Sprites mappa in corso...;Egységek betöltése…;;;;;;;x
LOADING_GUI_DEF;Battling Shar...;Chargement GUI…;GUI-Definitionen werden geladen ...;Wczytywanie definicji interfejsu graficznego...;Cargando definiciones de la interfaz...;Caricamento definizioni GUI in corso...;GUI betöltése…;;;;;;;x
LOADING_DATABASES;Forming Mystra...;Chargement Data…;Datenbanken werden geladen ...;Wczytywanie baz danych...;Cargando bases de datos...;Caricamento database in corso...;Adatbázis betöltése…;;;;;;;x
INIT_MAP_LOGIC;Casting a Spell...;Initialisation Maplogic…;Kartenlogik wird initialisiert ...;Uruchamianie Maplogic...;Iniciando mapa lógico...;Inizializzazione Maplogic in corso...;Pályaútvonalak töltése…;;;;;;;x
CREATING_CHKSUM;Stealing Divinity...;Création Checksum…;Checksumme wird erstell t...;Tworzenie sumy kontrolnej...;Creando tabla de verificación...;Creazione checksum in corso...;Ellenõrzõ összeg létrehozása…;;;;;;;x
CALC_PATHS;Creating Mortal Races...;Calcul des chemins…;Pfade werden berechnet ...;Obliczanie œcie¿ek...;Calculando rutas...;Calcolo percorsi in corso...;Útvonalak kiszámítása…;;;;;;;x
GENERATING_COAS;Negotiating with Asmodeus...;Génération des armoiries;Wappen wird erstellt;;Generando escudo de armas;;;;;;;;;x
LOADING_HISTORY;Admiring Lathander...;Chargement des fichiers historiques...;Geschichtsdateien werden geladen ...;Wczytywanie plików historycznych...;Cargando archivos históricos...;Caricamento file storia in corso...;Történelmi fájlok betöltése…;;;;;;;x
LOAD_EVENTS;Worshipping Lolth...;Chargement des évènements…;Ereignisse werden geladen ...;Wczytywanie zdarzeñ...;Cargando sucesos...;Caricamento eventi in corso...;Esemének betöltése…;;;;;;;x
LOADING_SOUNDS;Summoning Demogorgon...;Chargement des sons…;Sounddateien werden geladen ...;Wczytywanie dŸwiêków...;Cargando sonidos...;Caricamento suoni in corso...;Hangok betöltése…;;;;;;;x
PROC_FLAGS;Thanking Tempus...;Traitement des Armoiries…;Flaggen werden verarbeitet ...;Przetwarzanie flag...;Procesando banderas...;Elaborazione flag in corso...;Zászlók feldolgozása…;;;;;;;x
LOAD_FLAGS;Hunting with Giants...;Chargement des Armoiries…;Flaggen werden geladen ...;Wczytywanie flag...;Cargando banderas...;Caricamento flag in corso...;Zászlók betöltése…;;;;;;;x
LOAD_GFX;Meeting in a Tavern...;Chargement des graphismes…;Grafiken werden geladen ...;Wczytywanie grafiki...;Cargando gráficos...;Caricamento grafica in corso...;Grafikák betöltése…;;;;;;;x
CREATING_THE_WORLD;Shaping Toril...;Création du monde…;Die Welt wird erstellt ...;Tworzenie œwiata...;Creando el mundo...;Creazione mondo in corso...;Világ létrehozása…;;;;;;;x
CREATING_TREES;Planting the Treants...;Création des arbres...;Wald wird erstellt ...;Tworzenie drzew...;Creando árboles...;Creazione alberi in corso...;Fák létrehozása…;;;;;;;x
CREATING_BORDERS;Exploring Faerûn...;Création des frontières...;Grenzen werden erstellt ...;Tworzenie granic...;Creando fronteras...;Creazione confini in corso...;Országhatárok létrehozása…;;;;;;;x
