#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###ƒNSI;;;;;;;;;;;;x
brotherhood_of_true_flame;Brotherhood of the True Flame;;;;;;;;;;;x
brotherhood_of_true_flame_desc;The Brotherhood of the True Flame is a notorious arcane society based in Zakhara. Most members of this society are pure flame elementalists. Non-wizards also serve within the society, but hold much lower ranks compared to their elementalist brethren. This society holds the largest collection of wizards with the same goals and specializations within all of the Land of Fate. Their strongest fortresses are rumored to be located somewhere deep within the Weeping Desert and the Great Anvil.;;;;;;;;;;;x
currency_name_brotherhood_of_true_flame;Brotherhood Influence;;;;;;;;;;;x
brotherhood_of_true_flame_rank_1_female;Shig'harak;;;;;;;;;;;x
brotherhood_of_true_flame_rank_1_male;Shig'harak;;;;;;;;;;;x
brotherhood_of_true_flame_rank_2_female;Roshanee;;;;;;;;;;;x
brotherhood_of_true_flame_rank_2_male;Roshanee;;;;;;;;;;;x
brotherhood_of_true_flame_rank_3_female;Laubahan;;;;;;;;;;;x
brotherhood_of_true_flame_rank_3_male;Laubahee;;;;;;;;;;;x
brotherhood_of_true_flame_rank_4_female;Alaav;;;;;;;;;;;x
brotherhood_of_true_flame_rank_4_male;Alaav;;;;;;;;;;;x
brotherhood_of_true_flame_leader_desc;The head of the Brotherhood of the True Flame is known as the Sarvoch'alaav, or Bonfire Supreme.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Gather ingredients;;;;;;;;;;;;x
flame_acquire_ingredients_decision;Acquire Ingredients;;;;;;;;;;;x
flame_acquire_ingredients_decision_desc;Your apprentice will accompany you on a trip to gather rare ingredients for your alchemical inventory.;Votre apprenti vous accompagnera en voyage pour rassembler des ingr?dients rares destin?s ? votre stock alchimique.;Euer Lehrling wird Euch bei einer Reise begleiten, um seltene Zutaten f?r Euer alchemistisches Inventar zu sammeln.;;Tu aprendiz te acompa?ar? en un viaje para reunir ingredientes poco comunes para tu inventario alqu?mico.;;;;;;;x
#;;;;;;;;;;;;x
flame_brotherhood_laboratory;Construct Laboratory;Construire un laboratoire;Labor bauen;;Construir laboratorio;;;;;;;x
flame_brotherhood_laboratory_desc;Constructing your own laboratory will help you in the various experiments needed to delve into the deeper truths of creation. It can however easily get very costly...;Construire votre propre laboratoire vous aidera dans les diff»rentes exp»riences n»cessaires pour fouiller dans les v»rit»s plus profondes de la cr»ation. Cela peut cependant facilement devenir trÀs co∞teux...;Euer eigenes Labor zu bauen, wird Euch bei den verschiedenen Experimenten helfen, die vonnàten sind, um die tieferen Wahrheiten der Schàpfung zu ergr∏nden. Es kann jedoch leicht sehr kostspielig werden...;;Si construyes tu propio laboratorio, podr∑s realizar los experimentos necesarios para ahondar en la verdad sobre la creaci€n. Sin embargo, es f∑cil que se suba mucho de precio...;;;;;;;x
#;;;;;;;;;;;;x
#Brew Drug;;;;;;;;;;;;x
flame_brew_mood_drug;Brew Mood Enhancers;;;;;;;;;;;x
flame_brew_mood_drug_desc;As a [From.GetSocietyRank] of [From.Society.GetName], ﬂY[From.GetTitledFirstName]ﬂ! can brew drugs to raise low spirits.;;;;;;;;;;;x
flame_brew_mood_drug_power_desc;Concoct drugs to fight off stress and depression.;;;;;;;;;;;x
flame_brew_mood_drug_effect_self;ﬂY[From.GetTitledFirstName]ﬂ! brews [From.GetHerselfHimself] some drugs.\n;;;;;;;;;;;x
flame_brew_mood_drug_effect_other;ﬂY[From.GetTitledFirstName]ﬂ! brews some drugs for ﬂY[Root.GetTitledFirstName]ﬂ!.\n;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Long Live Flame Brotherhood;;;;;;;;;;;;x
long_live_the_flame_brotherhood;Long Live the Brotherhood;;;;;;;;;;;x
long_live_the_flame_brotherhood_desc;The Brotherhood is at its strongest when its members are united in purpose. Use this decision to guarantee a military alliance with the current Bonfire Supreme.;;;;;;;;;;;x
long_live_the_flame_brotherhood_power_desc;Ally yourself with the Bonfire Supreme.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Overthrow Bonfire Supreme;;;;;;;;;;;;x
overthrow_bonfire;Overthrow Bonfire;;;;;;;;;;;x
overthrow_bonfire_desc;The current Bonfire Supreme is nothing compared to you. Be bold, and claim the Bonfire seat for yourself.;;;;;;;;;;;x
overthrow_bonfire_power_desc;Get a claim on the Brotherhood of the True Flame title.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Great Ritual;;;;;;;;;;;;x
flame_great_ritual;Great Ritual;;;;;;;;;;;x
flame_great_ritual_desc;By summoning and binding a powerful ousider, you could get a wish. Wishes are risky, but potentially very beneficial.;;;;;;;;;;;x
flame_great_ritual_power_desc;Summon an outsider to get a wish.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Arcane Experiment;;;;;;;;;;;;x
flame_arcane_experiment;Arcane Experiment;;;;;;;;;;;x
flame_arcane_experiment_desc;You can gather your students and start an experimental arcane project, resulting in an unique modifier in your capital. Highly ambitious projects can be risky.;;;;;;;;;;;x
flame_arcane_experiment_power_desc;Get a unique arcane modifier in your capital.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#This event is for joining;;;;;;;;;;;;x
EVTDESC_BFL_102;You're clearly willing to join the Brotherhood of the True Flame, but are up to our standards? Will you wither and burn like dry wood, or will you conquer the almighty power of fire? That remains to be seen, but expect no mercy.;;;;;;;;;;;x
EVTOPTA_BFL_102;I am no weakling.;;;;;;;;;;;x
EVTOPTB_BFL_102;Er, I think I've made a mistake.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#asking for military alliance;;;;;;;;;;;;x
EVTDESC_BFL_8000;The Bonfire Supreme leads the Brotherhood with great wisdom and power. By pledging myself to the Bonfire's cause, I will be able to ask the Brotherhood for help in my future wars.;;;;;;;;;;;x
EVTOPTA_BFL_8000;We need this.;;;;;;;;;;;x
EVTOPTB_BFL_8000;I'm stronger alone.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#asked for military alliance;;;;;;;;;;;;x
EVTDESC_BFL_8001;Great Bonfire Supreme, leader of our Brotherhood, let me pledge myself to your service. No foe will stand before our combined power.;;;;;;;;;;;x
EVTOPTA_BFL_8001;A useful alliance.;;;;;;;;;;;x
EVTOPTB_BFL_8001;Your services are not required.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#accepted military alliance;;;;;;;;;;;;x
EVTDESC_BFL_8002;My friend, I gladly accept your suggestion. Serve the Brotherhood well, and you won't regret it.;;;;;;;;;;;x
EVTOPTA_BFL_8002;Great!;;;;;;;;;;;x
#;;;;;;;;;;;;x
#declined military alliance;;;;;;;;;;;;x
EVTDESC_BFL_8003;Your offer is appreciated, but I'm afraid you haven't earned the honor of serving me yet.;;;;;;;;;;;x
EVTOPTA_BFL_8003;Damn it.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#get claim;;;;;;;;;;;;x
EVTDESC_BFL_500;As a respected and feared bonfire, I don't have much more room for further personal advancement in the Brotherhood of the True Flame. Unless I want to aim for the seat of the Bonfire Supreme, that is.;;;;;;;;;;;x
EVTOPTA_BFL_500;Yes, I deserve to rule.;;;;;;;;;;;x
EVTOPTB_BFL_500;Wait, I might be making a terrible mistake here.;;;;;;;;;;;x
#;;;;;;;;;;;;x
title_flame_brotherhood_apprentice;Apprentice;Apprenti;Lehrling;;Aprendiz;;;;;;;x
title_flame_brotherhood_apprentice_desc;Whether a lowly Shig'harak or a wise Alaav, the rituals performed daily are best done with the safety of numbers. This individual seems both apt, and loyal for the task.;;;;;;;;;;;x
open_flame_brother;Open Flame Cultist;;;;;;;;;;;x
bahamut_opinion;Followers of Bahamut;;;;;;;;;;;x
draconic_group_opinion;Draconic Group;;;;;;;;;;;x
#;;;;;;;;;;;;x
