#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###ƒNSI;;;;;;;;;;;;x
#Gather ingredients;;;;;;;;;;;;x
brotherhood_acquire_ingredients_decision;Acquire Ingredients;;;;;;;;;;;x
brotherhood_acquire_ingredients_decision_desc;Your apprentice will accompany you on a trip to gather rare ingredients for your alchemical inventory.;Votre apprenti vous accompagnera en voyage pour rassembler des ingr?dients rares destin?s ? votre stock alchimique.;Euer Lehrling wird Euch bei einer Reise begleiten, um seltene Zutaten f?r Euer alchemistisches Inventar zu sammeln.;;Tu aprendiz te acompa?ar? en un viaje para reunir ingredientes poco comunes para tu inventario alqu?mico.;;;;;;;x
#;;;;;;;;;;;;x
brotherhood_laboratory;Construct Laboratory;Construire un laboratoire;Labor bauen;;Construir laboratorio;;;;;;;x
brotherhood_laboratory_desc;Constructing your own laboratory will help you in the various experiments needed to delve into the deeper truths of creation. It can however easily get very costly...;Construire votre propre laboratoire vous aidera dans les diff»rentes exp»riences n»cessaires pour fouiller dans les v»rit»s plus profondes de la cr»ation. Cela peut cependant facilement devenir trÀs co∞teux...;Euer eigenes Labor zu bauen, wird Euch bei den verschiedenen Experimenten helfen, die vonnàten sind, um die tieferen Wahrheiten der Schàpfung zu ergr∏nden. Es kann jedoch leicht sehr kostspielig werden...;;Si construyes tu propio laboratorio, podr∑s realizar los experimentos necesarios para ahondar en la verdad sobre la creaci€n. Sin embargo, es f∑cil que se suba mucho de precio...;;;;;;;x
#;;;;;;;;;;;;x
#Brew Drug;;;;;;;;;;;;x
brew_mood_drug;Brew Mood Enhancers;;;;;;;;;;;x
brew_mood_drug_desc;As a [From.GetSocietyRank] of [From.Society.GetName], ﬂY[From.GetTitledFirstName]ﬂ! can brew drugs to raise low spirits.;;;;;;;;;;;x
brew_mood_drug_power_desc;Concoct drugs to fight off stress and depression.;;;;;;;;;;;x
brew_mood_drug_effect_self;ﬂY[From.GetTitledFirstName]ﬂ! brews [From.GetHerselfHimself] some drugs.\n;;;;;;;;;;;x
brew_mood_drug_effect_other;ﬂY[From.GetTitledFirstName]ﬂ! brews some drugs for ﬂY[Root.GetTitledFirstName]ﬂ!.\n;;;;;;;;;;;x
apathetic;Apathetic;Apathique;Phlegmatisch;;ApatÃa;;;;;;;x
apathetic_desc;This character has reoccurring apathetic episodes which prevents them from living an ordinary life.;Ce personnage a des »pisodes apathiques r»currents qui l'empÕchent d'avoir une vie ordinaire.;Diese Person leidet zuweilen an phlegmatischen Gem∏tszustânden, die sie daran hindern, ein normales Leben zu f∏hren.;;Este personaje tiene episodios repetidos de apatÃa, lo que le impide tener una vida normal.;;;;;;;x
#;;;;;;;;;;;;x
#Long Live Brotherhood;;;;;;;;;;;;x
long_live_the_brotherhood;Long Live the Brotherhood;;;;;;;;;;;x
long_live_the_brotherhood_desc;The Brotherhood is at its strongest when its members are united in purpose. Use this decision to guarantee a military alliance with the current Archmage Arcane.;;;;;;;;;;;x
long_live_the_brotherhood_power_desc;Ally yourself with the Archmage Arcane.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Overthrow Archmage;;;;;;;;;;;;x
overthrow_archmage;Overthrow Archmage;;;;;;;;;;;x
overthrow_archmage_desc;The current Archmage Arcane is nothing compared to you. Be bold, and claim the Archmage seat for yourself.;;;;;;;;;;;x
overthrow_archmage_power_desc;Get a claim on the Arcane Brotherhood title.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Great Ritual;;;;;;;;;;;;x
great_ritual;Great Ritual;;;;;;;;;;;x
great_ritual_desc;By summoning and binding a powerful ousider, you could get a wish. Wishes are risky, but potentially very beneficial.;;;;;;;;;;;x
great_ritual_power_desc;Summon an outsider to get a wish.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Arcane Experiment;;;;;;;;;;;;x
arcane_experiment;Arcane Experiment;;;;;;;;;;;x
arcane_experiment_desc;You can gather your students and start an experimental arcane project, resulting in an unique modifier in your capital. Highly ambitious projects can be risky.;;;;;;;;;;;x
arcane_experiment_power_desc;Get a unique arcane modifier in your capital.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#asking for military alliance;;;;;;;;;;;;x
EVTDESC_BRO_8000;The Archmage Arcane leads the Brotherhood with great wisdom and power. By pledging myself to the Archmage's cause, I will be able to ask the Brotherhood for help in my future wars.;;;;;;;;;;;x
EVTOPTA_BRO_8000;We need this.;;;;;;;;;;;x
EVTOPTB_BRO_8000;I'm stronger alone.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#asked for military alliance;;;;;;;;;;;;x
EVTDESC_BRO_8001;Great Archmage Arcane, leader of our Brotherhood, let me pledge myself to your service. No foe will stand before our combined power.;;;;;;;;;;;x
EVTOPTA_BRO_8001;A useful alliance.;;;;;;;;;;;x
EVTOPTB_BRO_8001;Your services are not required.;;;;;;;;;;;x
